date,time,text,from,type,media
2025-06-08,12:07,헬로우,artist,text,
2025-06-08,12:07,어제 뭐하냐고 물어봐놓고 사라져버렷넹,artist,text,
2025-06-08,12:07,미안해..,artist,text,
2025-06-08,12:08,난 일하러 나왓징 ㅎㅎ,artist,text,
2025-06-08,12:08,어제 하루 쉬었는데 하루믄 너무 짧아 흑흑,artist,text,
2025-06-09,00:17,드뎌 퇴근하고 집왓다!,artist,text,
2025-06-09,00:18,내일 또 아침 일찍 나가야행 ㅜㅜ,artist,text,
2025-06-09,00:19,다 우리 런즈들이 기대해도 좋을것들이야 ㅎㅎ,artist,text,
2025-06-09,00:21,(name)는 오늘 주말이엇는데 잘 쉬엇어?,artist,text,
2025-06-09,00:23,주말인데 잘 쉬는게 중요해 ㅜㅜ!,artist,text,
2025-06-09,00:23,오늘 날씨도 좋았는데 ㅎㅎ,artist,text,
2025-06-09,00:24,이제 곧 또 장마시즌 시작이니까,artist,text,
2025-06-09,00:25,비 많이 오기전에 밖에 많이 돌아다녀!,artist,text,
2025-06-09,00:25,부산공연때 비 안왓으명 좋겟다,artist,text,
2025-06-09,00:25,ㅠㅠ,artist,text,
2025-06-09,00:26,여름은 다 좋은데 습함게 너무 힘들어,artist,text,
2025-06-09,00:27,난 그래서 가을 겨울이 좋아 ㅎㅎ,artist,text,
2025-06-09,00:27,한 해를 마무리해가는 그 느낌이 좋더라구,artist,text,
2025-06-09,00:27,한 해를 시작하는 느낌도 좋구,artist,text,
2025-06-09,00:27,비록 내 생일은 여름이지만 ㅋㅋ,artist,text,
2025-06-09,00:28,나중에 알래스카 여행 또 한번 꼭 가보고싶어,artist,text,
2025-06-09,00:29,오 알래스카가서 스노우보드 타보고싶다,artist,text,
2025-06-09,00:29,너무 행복할듯!,artist,text,
2025-06-09,00:29,개썰매도 타보고싶어,artist,text,
2025-06-09,00:29,우리 푸도 보고싶네,artist,text,
2025-06-09,00:29,못본지 너무 오래된거같아 뭔가,artist,text,
2025-06-09,00:30,나 추위는 잘 안타!,artist,text,
2025-06-09,00:30,보드는 잘타!,artist,text,
2025-06-09,00:30,ㅋㅋ,artist,text,
2025-06-09,00:31,리듬도 잘타,artist,text,
2025-06-09,00:31,춤출때 빼고,artist,text,
2025-06-09,00:32,ㅋㅋㅋㅋ스키는 안타본지 너무 오래되서 잘 모르겟다,artist,text,
2025-06-09,00:32,올 겨울에 울 애들이랑 꼭 같이 스키장 가고싶어,artist,text,
2025-06-09,00:33,올해초에도 가려고 날짜 다 잡았었는데,artist,text,
2025-06-09,00:33,그날 비와서 못갔었거든,artist,text,
2025-06-09,00:33,ㅠㅠ,artist,text,
2025-06-09,00:34,아쉽아쉽,artist,text,
2025-06-09,00:34,다같이 가면 진짜 재밌을거같아,artist,text,
2025-06-09,00:34,안다치는게 제일 중요!,artist,text,
2025-06-09,00:36,암튼 ㅎㅎ낼 일찍 일어나야해서,artist,text,
2025-06-09,00:36,자러가보껭 ㅜㅜ,artist,text,
2025-06-09,00:37,자기전에 노래추천은,artist,text,
2025-06-09,00:37,하현상 3108,artist,text,
2025-06-09,00:38,유튭뮤직 Recap에 가장 많이 들은 노래로 오늘 뜨더라고 ㅋㅋ,artist,text,
2025-06-09,00:38,암튼 ㅎㅎ 바이바이 굿나잇,artist,text,
2025-06-09,00:38,잘장,artist,text,
2025-06-09,21:56,,artist,image,bubble/Gunil/250609_1.jpg
2025-06-09,21:57,깜빡하고 못보여줬던거 발견 ㅋㅋ,artist,text,
2025-06-09,21:57,합주실 선반에 있는거 방금 발견햇어 ㅋㅋㅋ,artist,text,
2025-06-10,14:32,하이,artist,text,
2025-06-10,14:32,운동갔다가 점심 먹는중 ㅎㅎ,artist,text,
2025-06-10,14:33,,artist,image,bubble/Gunil/250610_1.jpg
2025-06-10,14:33,짠,artist,text,
2025-06-10,14:33,오늘은 후추랑 파 넣어 만든 계란밥! 간장 안넣었어 ㅋㅋ,artist,text,
2025-06-10,14:35,계란 6개 넣엇어 ㅋㅋ,artist,text,
2025-06-10,14:37,,artist,image,bubble/Gunil/250610_2.jpg
2025-06-10,14:37,이렇게 누룽지처럼 만들어쥬는게 포인트!,artist,text,
2025-06-10,14:37,한쪽면은 촉촉 한쪽면은 바삭,artist,text,
2025-06-10,14:38,원래 혼자먹을때 3개 넣는데 오늘은 정수랑 먹어서 6개 ㅋㅋㅋ,artist,text,
