date,time,text,from,type,media
2025-06-10,18:03,,artist,video,bubble/Jooyeon/250610_1.mp4
2025-06-10,18:05,소식 들었다~ 빌런즈 1000일 이라메 축하한댜ㅋㅋㅋㅋㅋ😘,artist,text,
2025-06-10,19:09,고맙당ㅎㅎ❤️,artist,text,
2025-06-15,21:50,,artist,image,bubble/Jooyeon/250615_1.jpg
2025-06-15,21:50,우린 이렇게 보임ㅋㅋㅋㅋ,artist,text,
2025-06-15,21:50,부산도 고생많았고 멀리서 온 아가들도 고생많았다이~,artist,text,
2025-06-15,21:50,굿나잇혀♡,artist,text,
2025-07-01,09:52,,artist,video,bubble/Jooyeon/250701_1.mp4
2025-07-01,09:52,으아ㅏ~~~~~,artist,text,
2025-07-01,09:52,굿나잇.....자고 돌아올게,artist,text,
2025-07-01,09:53,다시 자는거임. ㅎㅎㅎ,artist,text,
2025-07-01,13:52,배부르고망~,artist,text,
2025-07-01,13:52,떡볶이 때리고와쓰,artist,text,
2025-07-06,22:10,끄아아아아 the xcape 굉장히 재밌었다,artist,text,
2025-07-06,22:10,덕분이야🩷,artist,text,
2025-07-06,22:10,너무 고맙고 맛있는거 많이 먹고 푹 쉬어유~~~~😘,artist,text,
2025-07-17,19:00,,artist,image,bubble/Jooyeon/250717_1.jpg
2025-07-17,19:00,나. 김치. 먹는다.,artist,text,
2025-07-17,19:00,말리지마,artist,text,
2025-07-17,19:01,아니야 오늘은 아무도 말릴수없어.,artist,text,
2025-07-17,19:01,미안해...,artist,text,
2025-07-17,19:01,오늘은 일탈 좀 할게,artist,text,
2025-07-17,19:01,나쁜남자가 되고싶어,artist,text,
